bedroom,bathrooms,area,furnishing,floor_number,parking,powerbackup,gate_community,location,rent,location_encoded,furnishing_encoded
2,2,790.0,Furnished,7,0,2,Yes,DSK Sundarban Phase 1,16500.0,56,0
4,4,2500.0,Unfurnished,2,1,2,Yes,Manikchand Malabar Hills,43000.0,179,2
1,1,0.0,Furnished,6,0,0,Yes,Mittal Parkwayz,18000.0,200,0
1,1,450.0,Semifurnished,1,1,0,Yes,Megapolis Sparklet,12000.0,195,1
2,2,725.0,Unfurnished,6,1,2,Yes,Aura County,15000.0,29,2
2,2,900.0,Unfurnished,3,1,1,Yes,Bramha Sun City Phase 2,25000.0,44,2
4,4,0.0,Unfurnished,8,0,0,No,nul,24768.73599,341,2
1,1,431.0,Unfurnished,5,1,2,Yes,Mantra 7 Hills,7500.0,183,2
3,3,0.0,Semifurnished,1,1,2,Yes,Nyati Elysia,28000.0,218,1
3,3,0.0,Furnished,6,1,2,Yes,Kumar Park Infinia,27000.0,153,0
2,2,725.0,Unfurnished,1,1,0,No,Mittal Pebbles High Mont,18000.0,201,2
2,2,1000.0,Semifurnished,7,1,2,Yes,Ideal Spacio,17000.0,111,1
3,3,0.0,Semifurnished,8,2,2,Yes,Nyati Esteban 1,30000.0,221,1
2,2,0.0,Semifurnished,7,1,0,Yes,Kohinoor Tinsel Town,13000.0,137,1
2,2,0.0,Unfurnished,2,1,0,No,Lohegaon,9000.0,162,2
1,1,0.0,Unfurnished,1,0,0,Yes,Ravinanda Skylights,9500.0,273,2
2,2,0.0,Semifurnished,1,1,2,Yes,Raheja Vistas Phase 2,19000.0,266,1
4,4,0.0,Furnished,1,2,2,Yes,Panchshil Eon Waterfront,24768.73599,229,0
2,2,0.0,Unfurnished,6,1,2,Yes,Kalpataru Estate,21000.0,120,2
4,5,0.0,Furnished,1,1,2,Yes,Panchshil One North,24768.73599,230,0
1,1,0.0,Semifurnished,3,0,0,No,Vishrant Housing Society,8000.0,330,1
